# Frequency(Hz) Amplitude
0.053942 3719.975543
0.054186 1983.285509
0.054430 3143.086794
0.054674 2378.474339
0.054918 3098.100584
0.055162 2117.670773
0.055406 2529.415557
0.055650 4572.867209
0.055895 3067.634280
0.056139 1807.461531
0.056383 3901.487971
0.056627 2340.342472
0.056871 5802.925180
0.057115 1940.716869
0.057359 8488.244332
0.057603 1279.560045
0.057847 3064.165455
0.058091 2593.757419
0.058335 2178.458854
0.058579 4114.747274
0.058824 2576.779689
0.059068 2434.695989
0.059312 1827.022990
0.059556 467.763152
0.059800 3538.449408
0.060044 1020.828936
0.060288 1272.867698
0.060532 913.522261
0.060776 5693.875190
0.061020 4059.710573
0.061264 3607.291908
0.061508 5707.902804
0.061753 4240.864631
0.061997 483.861482
0.062241 2990.579959
0.062485 3962.778255
0.062729 3141.905425
0.062973 5010.599696
0.063217 6256.808161
0.063461 4175.356264
0.063705 4998.010328
0.063949 4689.800769
0.064193 2947.385858
0.064437 739.265431
0.064681 2771.725274
0.064926 5723.231503
0.065170 711.167014
0.065414 722.663244
0.065658 5424.509361
0.065902 5303.685969
0.066146 5870.159325
0.066390 2617.177635
0.066634 2535.683976
0.066878 4105.183389
0.067122 5171.913360
0.067366 2630.650130
0.067610 6319.056244
0.067855 7086.518884
0.068099 3376.847181
0.068343 1414.022507
0.068587 6880.819575
0.068831 4786.923762
0.069075 5140.195922
0.069319 3489.628127
0.069563 3723.125558
0.069807 965.373117
0.070051 2712.110867
0.070295 317.499954
0.070539 847.603722
0.070784 4422.306079
0.071028 3766.178501
0.071272 6199.928800
0.071516 3690.137053
0.071760 1321.343405
0.072004 2794.415892
0.072248 2198.829801
0.072492 3480.487588
0.072736 5963.714584
0.072980 6848.776232
0.073224 8581.045150
0.073468 3510.523100
0.073712 4112.950046
0.073957 6016.084489
0.074201 5528.584533
0.074445 5397.097732
0.074689 611.356302
0.074933 2710.588086
0.075177 3156.421381
0.075421 5391.079521
0.075665 5022.442214
0.075909 4591.066047
0.076153 3572.174420
0.076397 2986.267537
0.076641 1309.710535
0.076886 5172.926439
0.077130 2066.356673
0.077374 2842.093752
0.077618 2594.827133
0.077862 4496.885637
0.078106 4464.796398
0.078350 2579.904693
0.078594 993.149830
0.078838 6213.979024
0.079082 2276.658254
0.079326 1995.577265
0.079570 2985.759563
0.079814 4091.751076
0.080059 3300.373141
0.080303 2871.984010
0.080547 2490.761577
0.080791 3411.719837
0.081035 2171.477066
0.081279 1996.181466
0.081523 3459.642937
0.081767 2521.497170
0.082011 4631.119483
0.082255 3409.919095
0.082499 2359.950270
0.082743 2466.865653
0.082988 2535.178905
0.083232 2431.016183
0.083476 3284.841972
0.083720 352.063448
0.083964 1564.732333
0.084208 2146.111361
0.084452 764.590456
0.084696 1601.254185
0.084940 3517.949671
0.085184 1762.424340
0.085428 2695.470173
0.085672 493.699147
0.085917 3337.379242
0.086161 1013.967691
0.086405 427.131268
0.086649 1280.520291
0.086893 2130.100535
0.087137 2468.113424
0.087381 5317.328137
0.087625 1226.856473
0.087869 3974.151109
0.088113 705.220741
0.088357 3311.393028
0.088601 2631.550872
0.088845 2076.132076
0.089090 1790.076000
0.089334 2680.144513
0.089578 569.651323
0.089822 1792.431285
0.090066 624.850894
0.090310 2071.578041
0.090554 1774.522096
0.090798 1651.540920
0.091042 1308.180524
0.091286 1345.820811
0.091530 544.394443
0.091774 1537.846868
0.092019 1631.736097
0.092263 1213.065574
0.092507 3656.278339
0.092751 1572.114414
0.092995 3853.363886
0.093239 1147.516099
0.093483 2397.819536
0.093727 1599.449172
0.093971 2290.656190
0.094215 3120.761163
0.094459 3627.421300
0.094703 2578.405301
0.094948 380.386416
0.095192 1302.740284
0.095436 2532.157183
0.095680 4128.834161
0.095924 2393.342000
0.096168 5330.308685
0.096412 2363.358628
0.096656 1855.139792
0.096900 1467.430372
0.097144 2120.178715
0.097388 3863.821079
0.097632 2291.404759
0.097876 611.587094
0.098121 2342.102051
0.098365 1028.673737
0.098609 2388.869737
0.098853 1875.176017
0.099097 2833.556081
0.099341 2638.869948
0.099585 4429.851621
0.099829 1261.838360
0.100073 2817.990526
0.100317 1285.186925
0.100561 451.830076
0.100805 2355.449407
0.101050 3855.660930
0.101294 843.658333
0.101538 2006.304927
0.101782 1889.092753
0.102026 2960.107512
0.102270 1400.807910
0.102514 641.475172
0.102758 2233.426233
0.103002 2375.405290
0.103246 432.400857
0.103490 462.923689
0.103734 1479.774439
0.103979 647.873347
0.104223 1550.507359
0.104467 1274.303962
0.104711 1871.382921
0.104955 2740.993644
0.105199 1400.798347
0.105443 1963.688284
0.105687 1431.351533
0.105931 1192.123756
0.106175 468.707387
0.106419 1810.623158
0.106663 1308.773830
0.106907 1781.936463
0.107152 2737.645462
0.107396 774.757723
0.107640 3514.015672
0.107884 1720.250897
0.108128 1493.953160
0.108372 1396.892779
0.108616 699.738176
0.108860 921.893468
0.109104 2114.838996
0.109348 548.412827
0.109592 1178.201485
0.109836 2998.184335
0.110081 1347.731784
0.110325 648.472872
0.110569 2980.044468
0.110813 2209.630996
0.111057 1990.590464
0.111301 1143.652030
0.111545 874.986709
0.111789 1387.443210
0.112033 1658.688775
0.112277 2186.044629
0.112521 1042.017685
0.112765 2750.364182
0.113010 1629.348777
0.113254 3645.048308
0.113498 780.811779
0.113742 803.587605
0.113986 1496.429444
0.114230 2457.221013
0.114474 816.195508
0.114718 525.188623
0.114962 1439.910639
0.115206 958.149076
0.115450 985.808365
0.115694 646.772084
0.115938 1458.568980
0.116183 1712.026830
0.116427 2010.874805
0.116671 765.118114
0.116915 278.897267
0.117159 1421.845720
0.117403 430.337545
0.117647 2413.688104
0.117891 774.073767
0.118135 426.302282
0.118379 598.512904
0.118623 992.883854
0.118867 556.771539
0.119112 1403.803176
0.119356 1365.064312
0.119600 758.493726
0.119844 335.162669
0.120088 1245.373682
0.120332 1028.936428
0.120576 357.847260
0.120820 1453.707385
0.121064 2861.460815
0.121308 1464.203640
0.121552 1017.663312
0.121796 1350.614184
0.122041 710.488708
0.122285 802.742481
0.122529 1595.970876
0.122773 633.466085
0.123017 1089.405570
0.123261 2812.762034
0.123505 1708.139789
0.123749 1156.579565
0.123993 527.984557
0.124237 1662.547071
0.124481 1318.890871
0.124725 1175.954609
0.124969 1657.378131
0.125214 1106.738231
0.125458 104.795255
0.125702 1783.435810
0.125946 1552.926886
0.126190 961.503696
0.126434 1827.202225
0.126678 1060.826270
0.126922 2058.696598
0.127166 1954.740230
0.127410 1191.863605
0.127654 1088.442490
0.127898 170.835255
0.128143 2828.152296
0.128387 641.327664
0.128631 827.499538
0.128875 1202.359989
0.129119 795.768652
0.129363 614.954451
0.129607 1403.826673
0.129851 142.154768
0.130095 1256.011685
0.130339 945.292735
0.130583 1597.100798
0.130827 1070.396925
0.131072 1614.843512
0.131316 836.698425
0.131560 1694.440960
0.131804 1470.548404
0.132048 1613.717495
0.132292 1483.634502
0.132536 1030.740692
0.132780 1797.548389
0.133024 429.507096
0.133268 738.549185
0.133512 1506.760769
0.133756 1535.344376
0.134000 646.517767
0.134245 1313.333300
0.134489 487.941596
0.134733 1294.028684
0.134977 885.064275
0.135221 1165.677465
0.135465 519.255785
0.135709 876.807349
0.135953 1036.028506
0.136197 4228.288328
0.136441 842.715886
0.136685 1494.449132
0.136929 677.527296
0.137174 884.771583
0.137418 643.625401
0.137662 1890.231955
0.137906 1462.730376
0.138150 629.386804
0.138394 1139.598216
0.138638 62.796296
0.138882 411.658587
0.139126 1535.597891
0.139370 539.876628
0.139614 748.487250
0.139858 1643.497015
0.140103 599.892598
0.140347 954.608780
0.140591 1674.326434
0.140835 648.888853
0.141079 821.260275
0.141323 813.706090
0.141567 702.593988
0.141811 814.368803
0.142055 875.363649
0.142299 275.606822
0.142543 580.303458
0.142787 958.795190
0.143031 530.826359
0.143276 98.032281
0.143520 1181.247256
0.143764 982.462080
0.144008 689.777253
0.144252 1617.994084
0.144496 812.575935
0.144740 853.709490
0.144984 386.050974
0.145228 882.959653
0.145472 836.897869
0.145716 277.532137
0.145960 749.461705
0.146205 478.245599
0.146449 933.554997
0.146693 791.221893
0.146937 565.077989
0.147181 756.484216
0.147425 505.087020
0.147669 878.513376
0.147913 747.714489
0.148157 643.262129
0.148401 535.662461
0.148645 870.694817
0.148889 1331.301940
0.149134 914.918463
0.149378 324.158448
0.149622 1023.151941
0.149866 779.353517
0.150110 186.420057
0.150354 1250.805571
0.150598 513.482188
0.150842 256.058478
0.151086 605.255063
0.151330 290.829642
0.151574 904.964890
0.151818 328.626812
0.152062 230.106159
0.152307 273.122062
0.152551 1418.361883
0.152795 1137.086368
0.153039 469.967823
0.153283 565.995436
0.153527 747.664978
0.153771 168.709945
0.154015 738.898973
0.154259 408.131035
0.154503 532.041055
0.154747 676.416128
0.154991 1112.134116
0.155236 1561.294945
0.155480 356.578792
0.155724 436.126902
0.155968 763.769333
0.156212 166.546455
0.156456 556.031986
0.156700 508.688779
0.156944 919.879074
0.157188 741.924795
0.157432 1002.658963
0.157676 387.659755
0.157920 1193.166616
0.158165 230.853578
0.158409 150.798294
0.158653 292.714849
0.158897 547.741505
0.159141 672.311377
0.159385 623.813270
0.159629 717.566707
0.159873 557.352986
0.160117 777.558833
0.160361 428.543357
0.160605 395.992064
0.160849 858.221885
0.161093 598.854408
0.161338 1363.358492
0.161582 1177.330287
0.161826 189.117899
0.162070 258.763870
0.162314 404.286637
0.162558 118.913021
0.162802 584.558586
0.163046 676.428692
0.163290 551.513441
0.163534 899.369873
0.163778 206.496867
0.164022 902.408909
0.164267 356.342905
0.164511 822.374341
0.164755 149.368950
0.164999 810.232756
0.165243 941.479700
0.165487 315.203265
0.165731 584.996991
0.165975 677.001295
0.166219 351.452325
0.166463 861.183896
0.166707 777.506226
0.166951 179.616850
0.167196 214.958152
0.167440 415.318759
0.167684 1042.935872
0.167928 243.281879
0.168172 437.922855
0.168416 338.843065
0.168660 385.467442
0.168904 93.712818
0.169148 581.516303
0.169392 412.629254
0.169636 821.316178
0.169880 587.666113
0.170124 687.869988
0.170369 915.613917
0.170613 512.965475
0.170857 522.378072
0.171101 765.975392
0.171345 460.896608
0.171589 525.276248
0.171833 339.074485
0.172077 1080.212062
0.172321 525.642037
0.172565 492.488373
0.172809 861.050377
0.173053 515.738132
0.173298 963.904609
0.173542 512.243269
0.173786 562.707822
0.174030 1131.040916
0.174274 202.310934
0.174518 253.789592
0.174762 563.348574
0.175006 224.621838
0.175250 100.128841
0.175494 107.432755
0.175738 501.180296
0.175982 472.135515
0.176227 964.761708
0.176471 342.112552
0.176715 775.932231
0.176959 202.922299
0.177203 388.159831
0.177447 713.153588
0.177691 570.076428
0.177935 253.665910
0.178179 221.977687
0.178423 550.676139
0.178667 564.844932
0.178911 444.706868
0.179155 530.918781
0.179400 686.832863
0.179644 713.513743
0.179888 951.356039
0.180132 332.999159
0.180376 662.733992
0.180620 855.043174
0.180864 380.490516
0.181108 691.903973
0.181352 890.584555
0.181596 782.202019
0.181840 373.356215
0.182084 916.264886
0.182329 978.650117
0.182573 476.583766
0.182817 913.814948
0.183061 502.715313
0.183305 920.685203
0.183549 341.620234
0.183793 340.695847
0.184037 232.991847
0.184281 77.725080
0.184525 162.879952
0.184769 337.012595
0.185013 322.766467
0.185258 289.931440
0.185502 395.121465
0.185746 167.132176
0.185990 491.270997
0.186234 515.419974
0.186478 101.739202
0.186722 782.129471
0.186966 443.428784
0.187210 255.039453
0.187454 166.156986
0.187698 504.334421
0.187942 262.082901
0.188186 39.661101
0.188431 329.893651
0.188675 1152.875527
0.188919 367.503233
0.189163 622.672820
0.189407 662.005546
0.189651 245.732074
0.189895 168.475082
0.190139 447.793165
0.190383 731.080724
0.190627 526.700148
0.190871 511.122844
0.191115 595.107374
0.191360 126.578449
0.191604 487.304053
0.191848 168.306762
0.192092 374.674236
0.192336 231.068483
0.192580 102.841896
0.192824 98.138916
0.193068 365.506491
0.193312 317.717947
0.193556 155.474439
0.193800 446.980325
0.194044 240.948049
0.194289 266.177383
0.194533 267.316048
0.194777 173.707939
0.195021 156.061394
0.195265 286.779901
0.195509 344.083855
0.195753 206.384673
0.195997 250.238607
0.196241 321.044483
0.196485 599.906489
0.196729 60.743664
0.196973 755.190524
0.197217 414.875359
0.197462 508.042769
0.197706 145.808241
0.197950 816.993576
0.198194 273.443829
0.198438 287.517847
0.198682 114.520697
0.198926 545.578402
0.199170 423.321925
0.199414 357.163929
0.199658 205.998168
0.199902 546.231288
0.200146 274.774518
0.200391 97.511712
0.200635 241.344352
0.200879 184.902726
0.201123 431.802750
0.201367 237.206230
0.201611 342.069831
0.201855 387.554534
0.202099 469.031944
0.202343 80.154325
0.202587 410.997073
0.202831 316.012591
0.203075 591.880378
0.203320 221.788607
0.203564 560.961735
0.203808 237.685039
0.204052 165.098800
0.204296 489.484296
0.204540 478.092470
0.204784 282.125454
0.205028 249.219859
0.205272 69.818731
0.205516 442.253443
0.205760 656.070397
0.206004 284.509444
0.206248 180.033434
0.206493 373.955758
0.206737 383.777674
0.206981 476.181255
0.207225 371.477503
0.207469 272.732407
0.207713 258.052876
0.207957 133.863438
0.208201 260.325999
0.208445 217.834297
0.208689 100.858609
0.208933 129.716057
0.209177 446.838006
0.209422 421.789357
0.209666 436.829232
0.209910 272.005754
0.210154 544.517618
0.210398 334.190580
0.210642 501.227351
0.210886 391.956873
0.211130 114.718915
0.211374 285.184081
0.211618 459.229006
0.211862 173.725902
0.212106 289.091904
0.212351 178.383500
0.212595 382.223397
0.212839 106.410187
0.213083 157.640773
0.213327 381.642759
0.213571 331.127489
0.213815 216.199701
0.214059 171.996571
0.214303 375.084842
0.214547 99.719536
0.214791 313.127730
0.215035 353.957307
0.215279 331.844440
0.215524 126.069001
0.215768 387.732132
0.216012 146.661539
0.216256 257.703880
0.216500 278.379105
0.216744 328.368883
0.216988 342.060816
0.217232 310.513268
0.217476 298.203660
0.217720 86.567225
0.217964 59.568641
0.218208 135.848898
0.218453 128.453138
0.218697 176.511312
0.218941 277.727001
0.219185 255.718416
0.219429 232.128528
0.219673 200.627103
0.219917 101.956848
0.220161 269.498752
0.220405 306.916069
0.220649 219.735485
0.220893 371.778939
0.221137 100.362439
0.221381 256.387885
0.221626 317.632359
0.221870 46.670103
0.222114 76.424108
0.222358 188.214062
0.222602 101.360053
0.222846 268.140135
0.223090 237.313287
0.223334 312.456840
0.223578 121.734523
0.223822 283.393582
0.224066 384.630109
0.224310 198.431254
0.224555 111.929075
0.224799 57.934293
0.225043 140.129741
0.225287 315.273280
0.225531 268.064210
0.225775 131.237932
0.226019 103.051841
0.226263 331.911695
0.226507 165.575286
0.226751 218.878563
0.226995 234.200424
0.227239 110.594714
0.227484 262.616436
0.227728 203.379071
0.227972 134.378181
0.228216 192.224279
0.228460 295.239369
0.228704 65.394695
0.228948 190.498223
0.229192 221.351970
0.229436 124.072481
0.229680 216.167205
0.229924 174.699927
0.230168 151.169124
0.230412 235.379120
0.230657 420.887303
0.230901 208.715030
0.231145 91.287035
0.231389 204.667299
0.231633 104.538460
0.231877 213.688015
0.232121 18.065814
0.232365 243.870830
0.232609 94.553273
0.232853 157.107588
0.233097 136.655946
0.233341 142.731826
0.233586 274.157309
0.233830 179.247342
0.234074 363.243986
0.234318 55.827424
0.234562 332.711529
0.234806 173.174182
0.235050 225.080300
0.235294 31.904876
0.235538 114.804856
0.235782 238.314409
0.236026 237.832627
0.236270 153.470048
0.236515 29.565756
0.236759 204.152380
0.237003 178.563891
0.237247 100.128515
0.237491 124.935588
0.237735 156.941486
0.237979 282.373203
0.238223 72.680962
0.238467 84.479026
0.238711 52.977503
0.238955 61.122282
0.239199 90.415806
0.239443 207.856228
0.239688 128.776217
0.239932 235.405924
0.240176 65.689790
0.240420 48.174305
0.240664 54.644712
0.240908 131.792195
0.241152 151.359718
0.241396 175.663564
0.241640 5.893267
0.241884 51.443075
0.242128 36.782766
0.242372 122.539603
0.242617 135.906568
0.242861 252.774330
0.243105 120.350788
0.243349 90.492047
0.243593 250.941659
0.243837 186.373150
0.244081 148.197761
0.244325 106.904918
0.244569 262.329905
0.244813 122.530694
0.245057 107.566669
0.245301 206.196153
0.245546 120.062408
0.245790 184.496191
0.246034 19.739062
0.246278 80.139726
0.246522 78.590662
0.246766 217.365665
0.247010 163.582856
0.247254 42.314593
0.247498 99.104504
0.247742 179.741267
0.247986 128.583491
0.248230 148.394704
0.248474 163.471896
0.248719 145.118040
0.248963 85.248579
0.249207 120.810237
0.249451 221.705312
0.249695 96.912713
0.249939 131.687590
0.250183 204.455975
0.250427 38.965325
0.250671 219.167624
0.250915 177.263185
0.251159 159.105748
0.251403 98.648206
0.251648 217.465364
0.251892 47.038231
0.252136 177.681250
0.252380 170.964286
0.252624 102.057566
0.252868 82.564117
0.253112 182.569131
0.253356 156.539602
0.253600 63.885548
0.253844 121.454448
0.254088 124.157713
0.254332 227.021122
0.254577 85.256909
0.254821 42.843063
0.255065 75.653915
0.255309 133.707646
0.255553 20.352152
0.255797 50.984403
0.256041 109.434005
0.256285 76.073110
0.256529 229.162962
0.256773 100.398732
0.257017 70.930104
0.257261 133.626636
0.257505 44.822197
0.257750 105.668783
0.257994 122.149791
0.258238 114.744025
0.258482 216.132106
0.258726 84.014107
0.258970 90.675306
0.259214 76.029055
0.259458 141.417910
0.259702 195.158283
0.259946 103.491695
0.260190 78.318327
0.260434 98.270208
0.260679 104.385163
0.260923 99.215333
0.261167 127.235463
0.261411 114.617577
0.261655 76.840404
0.261899 45.539068
0.262143 28.768190
0.262387 106.816175
0.262631 64.386279
0.262875 107.203432
0.263119 157.851723
0.263363 71.091696
0.263608 65.399843
0.263852 58.044661
0.264096 157.940628
0.264340 20.777242
0.264584 167.276001
0.264828 70.166713
0.265072 81.224216
0.265316 15.862065
0.265560 26.987209
0.265804 28.727900
0.266048 19.124305
0.266292 100.331636
0.266536 192.098834
0.266781 76.558554
0.267025 95.961405
0.267269 77.147324
0.267513 38.736523
0.267757 109.378023
0.268001 174.276821
0.268245 25.951962
0.268489 47.114686
0.268733 61.107344
0.268977 27.697851
0.269221 56.325239
0.269465 116.855303
0.269710 210.709034
0.269954 86.351941
0.270198 69.660284
0.270442 77.563592
0.270686 177.315985
0.270930 149.002777
0.271174 44.019440
0.271418 180.121314
0.271662 103.222099
0.271906 183.349625
0.272150 149.839087
0.272394 86.380367
0.272639 28.364541
0.272883 40.458219
0.273127 28.725593
0.273371 120.225058
0.273615 78.402831
0.273859 94.295320
0.274103 90.392395
0.274347 62.877647
0.274591 79.750125
0.274835 84.558209
0.275079 21.338167
0.275323 138.184706
0.275567 133.721655
0.275812 54.574461
0.276056 106.681718
0.276300 91.944943
0.276544 53.296842
0.276788 73.090370
0.277032 109.026584
0.277276 115.871724
0.277520 77.545121
0.277764 65.442051
0.278008 16.479199
0.278252 69.467562
0.278496 109.721150
0.278741 91.995270
0.278985 40.318242
0.279229 116.396388
0.279473 122.478261
0.279717 40.276364
0.279961 111.082567
0.280205 98.090526
0.280449 89.028836
0.280693 66.927568
0.280937 64.008812
0.281181 100.504383
0.281425 132.101396
0.281670 94.814207
0.281914 6.848928
0.282158 27.209691
0.282402 103.474844
0.282646 118.812602
0.282890 83.964200
0.283134 138.390449
0.283378 192.722571
0.283622 69.738374
0.283866 22.335006
0.284110 34.897970
0.284354 84.230596
0.284598 55.326431
0.284843 100.603464
0.285087 91.443437
0.285331 106.539755
0.285575 143.048053
0.285819 134.291739
0.286063 155.161821
0.286307 101.524394
0.286551 141.153723
0.286795 165.947960
0.287039 268.460589
0.287283 392.588684
0.287527 570.889667
0.287772 1102.047791
0.288016 3093.387486
0.288260 542.123254
0.288504 328.593762
0.288748 276.464820
0.288992 164.250328
0.289236 122.762098
0.289480 65.159383
0.289724 61.652692
0.289968 159.665977
0.290212 85.143921
0.290456 137.869788
0.290701 68.498158
0.290945 33.258024
0.291189 31.226117
0.291433 39.197359
0.291677 60.063054
0.291921 78.949118
0.292165 29.845187
0.292409 76.915164
0.292653 53.005358
0.292897 99.140063
0.293141 5.466960
0.293385 38.672502
0.293629 29.711511
0.293874 75.661652
0.294118 81.369313
0.294362 84.256109
0.294606 66.112616
0.294850 48.407040
0.295094 87.341631
0.295338 74.721828
0.295582 40.008890
0.295826 75.887694
0.296070 63.062906
0.296314 103.005219
0.296558 37.218830
0.296803 91.024826
0.297047 91.549526
0.297291 52.323149
0.297535 11.172522
0.297779 83.057017
0.298023 43.131361
0.298267 99.786065
0.298511 64.242077
0.298755 45.805870
0.298999 56.996982
0.299243 29.969028
0.299487 33.638440
0.299732 75.889479
0.299976 111.885824
0.300220 52.411454
0.300464 42.208143
0.300708 51.644705
0.300952 38.345173
0.301196 62.439322
0.301440 75.219982
0.301684 39.134355
0.301928 64.255709
0.302172 97.294440
0.302416 97.138755
0.302660 93.654867
0.302905 58.790765
0.303149 13.417086
0.303393 64.503162
0.303637 80.652571
0.303881 4.150128
0.304125 75.199396
0.304369 99.296240
0.304613 69.888241
0.304857 91.623667
0.305101 73.502999
0.305345 23.300844
0.305589 75.135267
0.305834 70.647915
0.306078 37.270624
0.306322 19.187461
0.306566 160.682233
0.306810 103.392674
0.307054 48.592258
0.307298 159.992923
0.307542 61.289544
0.307786 143.393970
0.308030 18.423327
0.308274 103.263425
0.308518 54.583071
0.308763 24.622924
0.309007 113.565067
0.309251 79.523708
0.309495 79.734308
0.309739 20.684014
0.309983 42.944981
0.310227 47.429717
0.310471 53.469953
0.310715 102.925114
0.310959 30.019274
0.311203 108.300937
0.311447 116.863700
0.311691 90.000128
0.311936 11.261338
0.312180 44.190843
0.312424 84.345106
0.312668 155.290311
0.312912 48.220733
0.313156 91.799318
0.313400 65.704322
0.313644 110.360245
0.313888 107.811985
0.314132 13.733157
0.314376 53.483133
0.314620 74.843319
0.314865 91.663841
0.315109 147.823799
0.315353 69.959914
0.315597 134.248115
0.315841 99.716801
0.316085 95.735090
0.316329 71.409682
0.316573 110.964313
0.316817 44.039206
0.317061 130.106925
0.317305 43.083067
0.317549 121.215857
0.317794 46.861975
0.318038 143.100522
0.318282 33.915864
0.318526 80.976894
0.318770 36.266461
0.319014 115.560490
0.319258 103.223808
0.319502 39.876246
0.319746 47.371237
0.319990 71.585741
0.320234 47.379086
0.320478 38.203820
0.320722 97.430873
0.320967 54.331002
0.321211 53.899441
0.321455 105.257405
0.321699 185.172790
0.321943 36.020266
0.322187 44.785493
0.322431 95.590879
0.322675 136.544661
0.322919 158.577769
0.323163 121.211040
0.323407 83.054112
0.323651 80.708914
0.323896 117.621336
0.324140 55.621242
0.324384 158.036609
0.324628 133.165838
0.324872 80.648546
0.325116 163.948701
0.325360 98.316165
0.325604 114.513125
0.325848 101.286290
0.326092 53.210119
0.326336 121.273491
0.326580 94.874757
0.326825 63.184463
0.327069 129.996595
0.327313 55.149044
0.327557 117.109968
0.327801 111.251281
0.328045 122.077837
0.328289 49.538946
0.328533 131.037614
0.328777 154.443086
